receipt_date,cumulative_total
2023-07-07,1000.0
2023-07-07,2000.0
2023-07-07,4400.0
2023-07-07,6800.0
2023-07-07,9200.0
2023-07-07,9700.0
2023-07-07,11700.0
2023-07-07,14100.0
2023-07-07,14300.0
2023-07-07,16700.0
2023-07-07,19100.0
2023-07-07,19600.0
2023-07-07,20100.0
2023-07-07,22500.0
2023-07-07,23000.0
2023-07-07,24000.0
2023-07-07,25000.0
2023-07-07,25500.0
2023-07-07,27900.0
2023-07-07,28900.0
2023-07-07,29200.0
2023-07-07,31200.0
2023-07-07,33600.0
2023-07-07,34600.0
2023-07-07,35600.0
2023-07-07,36600.0
2023-07-07,39000.0
2023-07-07,41400.0
2023-07-07,43800.0
2023-07-07,44800.0
2023-07-07,45050.0
2023-07-07,47450.0
2023-07-07,48450.0
2023-07-07,48950.0
2023-07-07,49380.0
2023-07-07,51380.0
2023-07-07,53780.0
2023-07-07,56180.0
2023-07-07,58580.0
2023-07-07,60980.0
2023-07-07,62980.0
2023-07-07,63980.0
2023-07-07,66380.0
2023-07-07,68780.0
2023-07-07,71180.0
2023-07-08,73580.0
2023-07-08,75980.0
2023-07-08,76480.0
2023-07-08,76980.0
2023-07-10,77980.0
2023-07-10,78480.0
2023-07-10,78980.0
2023-07-10,79980.0
2023-07-10,82380.0
2023-07-10,83380.0
2023-07-10,83580.0
2023-07-11,84580.0
2023-07-12,84830.0
2023-07-12,85330.0
2023-07-12,85830.0
2023-07-12,86830.0
2023-07-12,87330.0
2023-07-12,89730.0
2023-07-12,89980.0
2023-07-12,90230.0
2023-07-12,90480.0
2023-07-12,90630.0
2023-07-12,91630.0
2023-07-12,91880.0
2023-07-12,92380.0
2023-07-12,92630.0
2023-07-12,93630.0
2023-07-12,94130.0
2023-07-12,95130.0
2023-07-12,95630.0
2023-07-12,96130.0
2023-07-12,96380.0
2023-07-12,98780.0
2023-07-12,99780.0
2023-07-12,100780.0
2023-07-12,101030.0
2023-07-12,101280.0
2023-07-12,101780.0
2023-07-12,102780.0
2023-07-12,104280.0
2023-07-12,105280.0
2023-07-12,106280.0
2023-07-12,107780.0
2023-07-12,108780.0
2023-07-12,109280.0
2023-07-12,109530.0
2023-07-12,111030.0
2023-07-12,111530.0
2023-07-12,112530.0
2023-07-12,113530.0
2023-07-12,113680.0
2023-07-12,114180.0
2023-07-12,114480.0
2023-07-12,114730.0
2023-07-12,114980.0
2023-07-12,119215.0
2023-07-12,119465.0
2023-07-12,119715.0
2023-07-12,119965.0
2023-07-12,120465.0
2023-07-13,121465.0
2023-07-13,122465.0
2023-07-13,123465.0
2023-07-13,123965.0
2023-07-13,124465.0
2023-07-13,124965.0
2023-07-13,125965.0
2023-07-13,128365.0
2023-07-13,128615.0
2023-07-13,129115.0
2023-07-13,129615.0
2023-07-13,132015.0
2023-07-13,132115.0
2023-07-13,133115.0
2023-07-13,133365.0
2023-07-13,134435.0
2023-07-14,134935.0
2023-07-14,135185.0
2023-07-14,136185.0
2023-07-14,138585.0
2023-07-14,138835.0
2023-07-14,139835.0
2023-07-14,142235.0
2023-07-14,142485.0
2023-07-14,142495.0
2023-07-15,142745.0
2023-07-15,144745.0
2023-07-15,145245.0
2023-07-15,145745.0
2023-07-15,146435.0
2023-07-16,146935.0
2023-07-16,148535.0
2023-07-16,150935.0
2023-07-16,151035.0
2023-07-17,151285.0
2023-07-17,151535.0
2023-07-17,152535.0
2023-07-18,154935.0
2023-07-18,157335.0
2023-07-18,157585.0
2023-07-18,157910.0
2023-07-19,160310.0
2023-07-19,162710.0
2023-07-19,163710.0
2023-07-19,163960.0
2023-07-19,164210.0
2023-07-19,164460.0
2023-07-19,164960.0
2023-07-19,165210.0
2023-07-19,165460.0
2023-07-19,166541.0
2023-07-20,166791.0
2023-07-20,167791.0
2023-07-20,170191.0
2023-07-20,172591.0
2023-07-20,172841.0
2023-07-20,173841.0
2023-07-20,174041.0
2023-07-20,174291.0
2023-07-20,174541.0
2023-07-20,175241.0
2023-07-20,177641.0
2023-07-20,177891.0
2023-07-21,178141.0
2023-07-21,178491.0
2023-07-21,180891.0
2023-07-21,181141.0
2023-07-21,181391.0
2023-07-21,181541.0
2023-07-21,182041.0
2023-07-21,182541.0
2023-07-21,183041.0
2023-07-21,184663.0
2023-07-21,184763.0
2023-07-21,185013.0
2023-07-21,185213.0
2023-07-22,185713.0
2023-07-23,188113.0
2023-07-23,190513.0
2023-07-24,191513.0
2023-07-24,191763.0
2023-07-24,192013.0
2023-07-24,192763.0
2023-07-24,193263.0
2023-07-24,194263.0
2023-07-25,194513.0
2023-07-25,196913.0
2023-07-25,197038.0
2023-07-25,197538.0
2023-07-25,197838.0
2023-07-25,197963.0
2023-07-25,198213.0
2023-07-25,198363.0
2023-07-25,198463.0
2023-07-25,198713.0
2023-07-25,198963.0
2023-07-25,201074.0
2023-07-25,202074.0
2023-07-26,202124.0
2023-07-26,202374.0
2023-07-26,202624.0
2023-07-26,203124.0
2023-07-26,203624.0
2023-07-26,204124.0
2023-07-26,204374.0
2023-07-26,204874.0
2023-07-26,204924.0
2023-07-26,205424.0
2023-07-26,205924.0
2023-07-26,206924.0
2023-07-27,207174.0
2023-07-27,207324.0
2023-07-27,207524.0
2023-07-27,208024.0
2023-07-27,208274.0
2023-07-27,208374.0
2023-07-27,208624.0
2023-07-27,208874.0
2023-07-28,209124.0
2023-07-28,210124.0
2023-07-28,210374.0
2023-07-28,210624.0
2023-07-28,210874.0
2023-07-28,211374.0
2023-07-28,211624.0
2023-07-28,212124.0
2023-07-28,213124.0
2023-07-28,213224.0
2023-07-28,216125.0
2023-07-28,217125.0
2023-07-29,218125.0
2023-07-29,218325.0
2023-07-29,218575.0
2023-07-29,219575.0
2023-07-29,219825.0
2023-07-30,220075.0
2023-07-30,220325.0
2023-07-30,220575.0
2023-07-30,220675.0
2023-07-30,220875.0
2023-07-30,221075.0
2023-07-30,221575.0
2023-07-30,222775.0
2023-07-30,223025.0
2023-07-30,223275.0
2023-07-30,223525.0
2023-07-30,223775.0
2023-07-30,224775.0
2023-07-30,225775.0
2023-07-30,225991.3
2023-07-30,227191.3
2023-07-30,227291.3
2023-07-30,227791.3
2023-07-31,227891.3
2023-07-31,228391.3
