week,num_donations,weekly_total,cumulative_total
2024-32,79,32281.51,32281.51
2024-33,78,23569.89,55851.399999999994
2024-34,100,40625.59,96476.98999999999
2024-35,193,69899.81,166376.8
2024-36,128,48330.56,214707.36
2024-37,115,34211.17,248918.53
2024-38,135,45944.84,294863.37
2024-39,144,60271.42,355134.79
2024-40,155,61007.51,416142.3
2024-41,192,56937.16,473079.45999999996
2024-42,248,82554.28,555633.74
2024-43,216,161760.48,717394.22
2024-44,156,40715.52,758109.74
2024-45,50,20444.94,778554.6799999999
