week,num_donations,weekly_total,cumulative_total
2023-27,49,76980.0,76980.0
2023-28,90,74055.0,151035.0
2023-29,45,39478.0,190513.0
2023-30,74,37278.3,227791.3
2023-31,58,24284.0,252075.3
2023-32,28,14452.0,266527.3
2023-33,48,27218.0,293745.3
2023-34,45,14332.81,308078.11
2023-35,37,22432.0,330510.11
2023-36,15,8357.86,338867.97000000003
2023-37,23,18214.0,357081.97000000003
2023-38,23,8632.14,365714.11
2023-39,76,40858.0,406572.11
2023-40,43,22535.0,429107.11
2023-41,40,14752.0,443859.11
2023-42,39,16413.0,460272.11
2023-43,51,25030.0,485302.11
2023-44,45,21313.0,506615.11
2023-45,34,14855.0,521470.11
2023-46,39,12494.04,533964.15
2023-47,31,14631.0,548595.15
2023-48,78,29935.26,578530.41
2023-49,37,14017.0,592547.41
2023-50,34,9193.0,601740.41
2023-51,16,3108.0,604848.41
2023-52,49,28227.75,633076.16
2024-01,38,9968.42,643044.58
2024-02,34,6062.05,649106.63
2024-03,54,23964.0,673070.63
2024-04,57,21984.5,695055.13
2024-05,59,21100.15,716155.28
2024-06,43,12938.7,729093.98
2024-07,51,16714.0,745807.98
2024-08,52,21543.0,767350.98
2024-09,74,37424.0,804774.98
2024-10,48,14506.0,819280.98
2024-11,63,23224.69,842505.67
2024-12,78,31152.7,873658.37
2024-13,80,21207.36,894865.73
2024-14,42,13176.0,908041.73
2024-15,41,10339.7,918381.43
2024-16,72,28615.0,946996.43
2024-17,72,40992.0,987988.43
2024-18,88,32864.0,1020852.43
2024-19,80,15152.0,1036004.43
2024-20,223,67059.0,1103063.43
2024-21,47,20886.0,1123949.43
2024-22,104,27353.0,1151302.43
2024-23,70,22875.0,1174177.43
2024-24,87,15712.0,1189889.43
2024-25,70,27459.0,1217348.43
2024-26,146,49713.0,1267061.43
2024-27,54,14197.0,1281258.43
2024-28,98,35860.0,1317118.43
2024-29,142,39580.67,1356699.1
2024-30,160,61078.21,1417777.31
2024-31,251,76870.22,1494647.53
2024-32,111,43988.51,1538636.04
2024-33,78,23569.89,1562205.93
2024-34,100,40625.59,1602831.52
2024-35,193,69899.81,1672731.33
2024-36,128,48330.56,1721061.89
2024-37,115,34211.17,1755273.06
2024-38,135,45944.84,1801217.9
2024-39,144,60271.42,1861489.32
2024-40,155,61007.51,1922496.83
2024-41,192,56937.16,1979433.99
2024-42,248,82554.28,2061988.27
2024-43,216,161760.48,2223748.75
2024-44,156,40715.52,2264464.27
2024-45,65,21014.94,2285479.21
2024-46,30,7258.6,2292737.81
2024-47,20,16435.0,2309172.81
2024-48,29,2502.8900000000003,2311675.7
2024-49,33,7702.0,2319377.7
2024-50,99,29707.51,2349085.21
2024-51,2,0.0,2349085.21
2025-01,1,9.68,2349094.89
